"keys","tr"
,
"msg_mod_json_parsing_failed","%s alınamadı"
"msg_mod_deleted","%s silindi"
"msg_mod_not_found","\""%s\"" ID sine sahip mod bulunamadı"
"msg_deleting_n_mods","%s mod siliniyor..."
"msg_obsolete_mod_collision","%s ID sine sahip geçersiz bir mod var.Karışıklıklara sebep olmaması için [i]%s[/i] değiştirilmiş bir ad ve ID ile yüklenecek."
"msg_mod_installed","%s modu yüklendi"
"msg_installing_n_mods","%s mod yükleniyor..."
"msg_getting_kenan_pack","%s için Kenan'ın Mod Paketi alınıyor..."
"msg_wiping_mod_repo","Dizin temizleniyor..."
"msg_unpacking_kenan_mods","Paketteki dosyalar dizine ekleniyor..."
"msg_unpacking_archived_mods","Arşivli modlar dizine ekleniyor..."
"msg_kenan_install_cleanup","Temizleniyor..."
"msg_kenan_install_done","Hepsi bitti"
